source,name,dob,desc,wikidata,email,vk,ig,fb,tw,yt,ok,sanctioned
126-1057-7,Аветисов Алексей Сергеевич,,,,,,,,,,,
126-1057-7,Агафонова Любовь Викторовна,,,,,,,,,,,
126-1057-7,Александров Анатолий Александрович,,,,,,,,,,,
126-1057-7,Александров Владимир Леонидович,,,,,,,,,,,
126-1057-7,Алешина Елена Николаевна,,,,,,,,,,,
126-1057-7,Алушкин Борис Кондулеевич,,,,,,,,,,,
126-1057-7,Амельченкова Ольга Николаевна,,,,,,,,,,,
126-1057-7,Анисимов Алексей Викторович,,,,,,,,,,,
126-1057-7,Антипов Павел Юрьевич,,,,,,,,,,,
126-1057-7,Ануфриенкова Валентина Ивановна,,,,,,,,,,,
126-1057-7,Афанасов Геннадий Алексеевич,,,,,,,,,,,
126-1057-7,Бабин Валерий Геннадьевич,,,,,,,,,,,
126-1057-7,Багринцев Вадим Валерьевич,,,,,,,,,,,
126-1057-7,Базарова Алина Владимировна,,,,,,,,,,,
126-1057-7,Байметов Владимир Александрович,,,,,,,,,,,
126-1057-7,Бальжиров Баир Гвибалович,,,,,,,,,,,
126-1057-7,Баранов Александр Иванович,,,,,,,,,,,
126-1057-7,Баранова Вера Павловна,,,,,,,,,,,
126-1057-7,Барбакова Людмила Михайловна,,,,,,,,,,,
126-1057-7,Бахметьев Сергей Николаевич,,,,,,,,,,,
126-1057-7,Бахтизин Рамиль Назифович,,,,,,,,,,,
126-1057-7,Белоцерковцева Лариса Дмитриевна,,,,,,,,,,,
126-1057-7,Беляев Николай Александрович,,,,,,,,,,,
126-1057-7,Белякова Римма Ивановна,,,,,,,,,,,
126-1057-7,Беппаев Муталип Азнорович,,,,,,,,,,,
126-1057-7,Бессонов Виталий Анатольевич,,,,,,,,,,,
126-1057-7,Бобыльченко Виталий Александрович,,,,,,,,,,,
126-1057-7,Богатырева Марем Камбулатовна,,,,,,,,,,,
126-1057-7,Богородецкая Ольга Николаевна,,,,,,,,,,,
126-1057-7,Бокерия Леонид Антонович,,,,,,,,,,,
126-1057-7,Боков Шамсудин Бесланович,,,,,,,,,,,
126-1057-7,Большакова Мария Артемовна,,,,,,,,,,,
126-1057-7,Борисов Александр Александрович,,,,,,,,,,,
126-1057-7,Боровская Марина Александровна,,,,,,,,,,,
126-1057-7,Бочаров Вячеслав Алексеевич,,,,,,,,,,,
126-1057-7,Брусникова Нина Владимировна,,,,,,,,,,,
126-1057-7,Будова Александра Павловна,,,,,,,,,,,
126-1057-7,Будяк Александра Владимировна,,,,,,,,,,,
126-1057-7,Бутман Игорь Михайлович,,,,,,,,,,,
126-1057-7,Вавилова Наталья Ивановна,,,,,,,,,,,
126-1057-7,Варламов Кирилл Викторович,,,,,,,,,,,
126-1057-7,Васильев Владимир Николаевич,,,,,,,,,,,
126-1057-7,Васильев Дмитрий Владимирович,,,,,,,,,,,
126-1057-7,Великанова Ирина Яковлевна,,,,,,,,,,,
126-1057-7,Винокур Владимир Натанович,,,,,,,,,,,
126-1057-7,Вовченко Виталий Владимирович,,,,,,,,,,,
126-1057-7,Волобуев Василий Тихонович,,,,,,,,,,,
