source,name,dob,desc,wikidata,email,vk,ig,fb,tw,yt,ok,sanctioned
putin2018,Белоцерковцева Лариса Дмитриевна,,"Бюджетное учреждение Ханты-Мансийского автономного округа — Югры ""Сургутский клинический перинатальный центр"", главный врач.",,,,,,,,,
putin2018,Беляев Николай Александрович,,"ГКОУ г. Москвы, КШИ №1 ""Первый Московский кадетский корпус"", руководитель структурного подразделения по дополнительному образованию.",,,,,,,,,
putin2018,Белякова Римма Ивановна,,"Саратовская государственная консерватория имени Л.В. Собинова, Заведующая кафедрой мастерства актера, профессор.",,,,,,,,,
putin2018,Беппаев Муталип Азнорович,,"Союз писателей Кабардино-Балкарской Республики, председатель правления.",,,,,,,,,
putin2018,Бессонов Виталий Анатольевич,,"ГБУК КО ""Калужский объединенный музей-заповедник"", генеральный директор.",,,,,,,,,
putin2018,Битаев Роберт Александрович,,"Актер, режиссер, национальный театральный деятель. Народный артист Республики Северная Осетия-Алания. Заслуженный артист РФ.",,,,,,,,,
putin2018,Бобыльченко Виталий Александрович,,"ГБОУ Ростовской области ""Шахтинский генерала Я.П. Бакланова казачий кадетский корпус"", директор.",,,,,,,,,
putin2018,Богатырева Марем Камбулатовна,,"Пенсионер, Герой Труда Российской Федерации.",,,,,,,,,
putin2018,Богородецкая Ольга Николаевна,,"Ульяновский региональный благотворительный фонд ""Дари добро"", директор.",,,,,,,,,
putin2018,Бокерия Леонид Антонович,,Директор Центра им А.Н.Бакулева,,,,,,,,,
putin2018,Боков Шамсудин Бесланович,,"ГАУ ""Редакция газеты ""Ингушетия"", главный редактор.",,,,,,,,,
putin2018,Большакова Мария Артемовна,,"Общероссийская общественная организация ""Союз семей военнослужащих России"", председатель совета.",,,,,,,,,
putin2018,Бондарчук Федор Сергеевич,,"Кинорежиссер, продюсер.",,,,,,,,,
putin2018,Борисов Александр Александрович,,"ЦИК партии ""Единая Россия"", руководитель",,,,,,,,,
putin2018,Боровская Марина Александровна,,"ФГБОУ ВО ""Южный федеральный университет"", ректор.",,,,,,,,,
putin2018,Бочаров Вячеслав Алексеевич,,"Общественная палата Российской Федерации, первый заместитель секретаря.",,,,,,,,,
putin2018,Бояков Эдуард Владиславович,,"Продюсер, театральный режиссер.",,,,,,,,,
putin2018,Боярский Михаил Сергеевич,,"Актер театра и кино, певец, телеведущий. Народный артист РСФСР.",,,,,,,,,
putin2018,Брусникова Нина Владимировна,,"Пенсионер, Герой Российской Федерации.",,,,,,,,,
putin2018,Будова Александра Павловна,,"ГОБУЗ ""Мурманская областная клиническая больница им. П.А. Баяндина"", главный врач.",,,,,,,,,
putin2018,Будяк Александра Владимировна,,"МАОУ гимназия № 24 города Ставрополя имени генерала-лейтенанта юстиции М.Г. Ядрова, директор.",,,,,,,,,
putin2018,Бутман Игорь Михайлович,,Музыкант,,,,,,,,,
putin2018,Бялик Андрей Яковлевич,,"МКОУ ""Средняя общеобразовательная школа имени И.А. Пришкольника села Валдгейм"", директор.",,,,,,,,,
putin2018,Вавилова Наталья Ивановна,,"БУ ""Музей изобразительных искусств Республики Карелия"", директор.",,,,,,,,,
putin2018,Ваганов Николай Николаевич,,Председатель правления Ассоциации детских больниц.,,,,,,,,,
putin2018,Вагидов Завурбек Юнусович,,Заместитель начальника Управления охраны объектов животного мира и особо охраняемых территорий Министерства природных ресурсов Республики Дагестан.,,,,,,,,,
putin2018,Варламов Кирилл Викторович,,"Фонд развития интернет-инициатив, директор.",,,,,,,,,
putin2018,Васильев Владимир Николаевич,,"Университет ИТМО, г. Санкт-Петербург, ректор.",,,,,,,,,
putin2018,Васильев Дмитрий Владимирович,,"АУК ""Омская филармония"", художественный руководитель, главный дирижер.",,,,,,,,,
putin2018,Васильева Людмила Сергеевна,,"Член Паралимпийской сборной России, Мисс Независимость – 2012, Чемпионка Европы и мира по фехтованию. Эксперт ОНФ.",,,,,,,,,
putin2018,Вейсалова Нина Глебовна,,"Первый вице-президент Ассоциации коренных малочисленных народов Севера, Сибири Дальнего Востока Российской Федерации, президент Иркутской региональной общественной организации «Союз содействия коренным малочисленным народам Севера Иркутской области».",,,,,,,,,
putin2018,Вележева (Вележова) Лидия Леонидовна,,Актриса Государственного академического театра имени Е.Вахтангова. Заслуженная артистка Российской Федерации.,,,,,,,,,
putin2018,Великанова Ирина Яковлевна,,"ФГБУК ""Государственный центральный музей современной истории России"", генеральный директор.",,,,,,,,,
putin2018,Винер-Усманова Ирина Александровна,,Президент Общероссийской общественной организации «Всероссийская федерация художественной гимнастики». Герой Труда Российской Федерации.,,,,,,,,,
putin2018,Винокур Владимир Натанович,,"Советский и российский юморист, певец и телеведущий",,,,,,,,,
putin2018,Власов Роман Андреевич,,"Спортсмен-инструктор ГАУ Новосибирской области «Региональный центр спортивной подготовки сборных команд и спортивного резерва». Двукратный Олимпийский чемпион по греко-римской борьбе, заслуженный мастер спорта России.",,,,,,,,,
putin2018,Вовченко Виталий Владимирович,,"Пенсионер, Почётный гражданин Смоленска, бывший председатель Смоленского областного совета ветеранов.",,,,,,,,,
putin2018,Волкогон Владимир Алексеевич,,Ректор ФГБОУ ВПО «Калининградский государственный технический университет»,,,,,,,,,
putin2018,Волобуев Василий Тихонович,,"ФКУ ""Военный комиссариат города Санкт- Петербурга"", инспектор группы инспекторов.",,,,,,,,,
putin2018,Володин Алексей Михайлович,,"ОАО ""Тяжпрессмаш"", генеральный директор.",,,,,,,,,
putin2018,Володин Валерий Иванович,,"""Частное учреждение содействия Музейному историко-мемориальному комплексу ""35-я береговая батарея"", председатель правления.",,,,,,,,,
putin2018,Волчек Галина Борисовна,,"Актриса театра и кино, театральный режиссер, педагог. Герой Труда Российской Федерации. Народная артистка СССР.",,,,,,,,,
putin2018,Воронин Анатолий Викторович,,"ФГБОУ ВО ""Петрозаводский государственный университет"", ректор.",,,,,,,,,
putin2018,Воронин Сергей Николаевич,,"ФГБОУ ВО ""Уральский государственный экономический университет"" (УрГЭУ), советник при ректорате.",,,,,,,,,
putin2018,Востротин Валерий Александрович,,Глава попечительского совета парка «Патриот».,,,,,,,,,
putin2018,Габеев Артур Демсунович,,"ООО «Яндекс», водитель такси сервиса «Яндекс. Такси». Многодетный отец, награжден орденом «Родительская слава» в 2017 году.",,,,,,,,,
putin2018,Гагарина Полина Сергеевна,,"Певица, композитор, актриса, модель.",,,,,,,,,
putin2018,Газманов Олег Михайлович,,"Эстрадный певец, композитор, поэт, актер, продюсер. Народный артист Российской Федерации.",,,,,,,,,
putin2018,Галоев Мурат Георгиевич,,"ПАО ""Магаданский механический завод"", генеральный директор.",,,,,,,,,
putin2018,Галустян Михаил Сергеевич,,"Шоумен, юморист, комедийный актер, сценарист и продюсер. Бывший участник КВН и приглашённый резидент шоу «Comedy Club».",,,,,,,,,
putin2018,Гальцева Виктория Евгеньевна,,"Краевое автономное учреждение ""Алтайский государственный театр музыкальной комедии"", артистка-вокалистка.",,,,,,,,,
putin2018,Гаман-Голутвина Оксана Викторовна,,Президент общероссийской общественной организации «Российская ассоциация политической науки». Член Общественной палаты Российской Федерации.,,,,,,,,,
putin2018,Гергиев Валерий Абисалович,,Художественный руководитель-директор ФГБУ культуры «Государственный академический Мариинский театр». Герой Труда Российской Федерации,,,,,,,,,
putin2018,Гилева Анастасия Григорьевна,,"Пермская краевая Общественная организация защиты прав детей-инвалидов и их семей ""Счастье жить"", президент.",,,,,,,,,
putin2018,Глыбочко Петр Витальевич,,Ректор ГБОУ ВПО «Первый Московский государственный медицинский университет имени И.М.Сеченова» Минздрава России. Академик РАН.,,,,,,,,,
putin2018,Головин Дмитрий Алексеевич,,"РАНХиГС, инструктор-методист Кафедры физического воспитания и здоровья, руководитель Студенческого спортивного клуба.",,,,,,,,,
putin2018,Горбунов Сергей Владимирович,,"ООО ""Красноярская фабрика ""Енисей"", директор.",,,,,,,,,
putin2018,Готье Сергей Владимирович,,Главный трансплантолог Минздрава России,,,,,,,,,
putin2018,Гочияев Борис Хаджи-Ахматович,,"Филиал АО ""МАКС-М"" в г. Черкесске, директор.",,,,,,,,,
putin2018,Гребнева Елена Олеговна,,"ООО ""Рекламное Агентство Медиа Траст"", генеральный директор.",,,,,,,,,
putin2018,Гриднева Галина Борисовна,,"Директор филиала ОУ ВО «Санкт-Петербургский институт внешнеэкономических связей, экономики и права», председатель правления РОО Общероссийской общественной организации – Общество «Знание» России, председатель Общественной палаты Новосибирской области.",,,,,,,,,
putin2018,Гриценко Владимир Петрович,,Директор ФГБУК «Государственный военно-исторический и природный музей-заповедник «Куликово поле» (Тульская область). Сопредседатель регионального отделения ОНФ.,,,,,,,,,
putin2018,Гришин Виктор Иванович,,"ФГБОУ ВО ""Российский экономический университет им. Г.В. Плеханова, ректор.",,,,,,,,,
putin2018,Гришин Вячеслав Леонидович,,Президент Общероссийского союза общественных объединений «Союз «Чернобыль» России». Член Центрального штаба ОНФ.,,,,,,,,,
putin2018,Губерниев Дмитрий Викторович,,"Телеведущий, спортивный комментатор телеканала «Матч ТВ».",,,,,,,,,
putin2018,Губин Александр Вадимович,,"ФГБУ ""Российский научный центр ""Восстановительная травматология и ортопедия"" им. академика Г.А. Илизарова"" Министерства здравоохранения РФ, директор.",,,,,,,,,
putin2018,Гударенко Раиса Федоровна,,"ГАУ ДПО ""Центр повышения квалификации и профессиональной переподготовки работников социальной сферы"", заместитель директора по научно-аналитической работе.",,,,,,,,,
putin2018,Гудас Инесса Узаировна,,Директор «Дом детского творчества» Костромского района Костромской области. Член Общественной палаты Костромской области. Активистка ОНФ.,,,,,,,,,
putin2018,Гузев (Панкратов-Черный) Александр Васильевич,,"Актер, режиссер киностудии «Мосфильм». Народный артист Российской Федерации.",,,,,,,,,
putin2018,Гурцкая Диана Гудаевна,,"Певица, президент попечительского совета благотворительного фонда Дианы Гурцкая ""По зову сердца"".",,,,,,,,,
putin2018,Гусев Владимир Александрович,,Директор ФГУК «Государственный Русский музей». Член президиума Российского комитета Международного совета музеев,,,,,,,,,
putin2018,Гусев Павел Николаевич,,"Главный редактор ""Московского комсомольца""",,,,,,,,,
putin2018,Густов Сергей Вадимович,,Генеральный директор ООО «Газпром СПК Санкт-Петербург».,,,,,,,,,
putin2018,Гуськов Алексей Геннадьевич,,"Народный артист России, кинорежиссер, продюсер.",,,,,,,,,
putin2018,Гыштемулте Ефросиния Николаевна,,Председатель Региональной общественной организации Московской области «Объединение и социальная поддержка женщин-мигрантов».,,,,,,,,,
putin2018,Давлетьяров Ренат Фаварисович,,"Продюсер, кинорежиссер, сценарист. Президент российской Гильдии продюсеров.",,,,,,,,,
putin2018,Данилов Константин Иванович,,Руководитель представительства ГК «Ростех» в Тульской области. Заместитель председателя Общественной палаты Тульской области. Заслуженный машиностроитель РФ.,,,,,,,,,
putin2018,Дворниченко Виктория Владимировна,,"ГБУЗ ""Областной онкологический диспансер"" города Иркутска, главный врач.",,,,,,,,,
putin2018,Девяткина Тамара Владимировна,,"ФГБОУ ВО ""Ульяновский государственный педагогический университет им. И.Н. Ульянова"", ректор.",,,,,,,,,
putin2018,Демаков Илья Сергеевич,,"Учитель истории, права и обществознания. Победитель конкурса «Учитель года» 2017 г.",,,,,,,,,
putin2018,Демидов Александр Иванович,,"Саратовская государственная юридическая академия, Директор Центра международного сотрудничества, профессор.",,,,,,,,,
putin2018,Дербин Владимир Георгиевич,,Председатель Общественной организации Межрегиональное Санкт-Петербурга и Ленинградской области объединение организаций профсоюзов «Ленинградская Федерация Профсоюзов».,,,,,,,,,
putin2018,Дергаев Евгений Александрович,,"ГАУ Архангельской области ""региональный центр развития спорта ""Водник"", спортсмен-инструктор. Член сборной России по хоккею с мячом.",,,,,,,,,
putin2018,Держак Владимир Владимирович,,"Мастер цеха монтажа, наладки и специального транспорта, производства ремонта и обслуживания оборудования дирекции по обслуживанию и ремонту технологического оборудования ОАО «Автоваз».",,,,,,,,,
putin2018,Долина Лариса Александровна,,Певица. Народная артистка Российской Федерации.,,,,,,,,,
putin2018,Домненко Анатолий Федорович,,Военный пенсионер.,,,,,,,,,
putin2018,Дорофеев Сергей Борисович,,"ГАУЗ Новосибирской области ""Городская клиническая поликлиника № 1"", главный врач.",,,,,,,,,
putin2018,Дорошенко Светлана Васильевна,,Председатель общественной организации «Союз женщин Республики Адыгея».,,,,,,,,,
putin2018,Дудова Людмила Васильевна,,Председатель координационного совета Общероссийской общественной организации «Ассоциация учителей литературы и русского языка». Член Общественной палаты Российской Федерации.,,,,,,,,,
putin2018,Дужников Станислав Михайлович,,Актер театра и кино.,,,,,,,,,
putin2018,Егоров Алексей Алексеевич,,"АУ РС(Я) ""Государственный театр эстрады"", директор.",,,,,,,,,
